"artist","album","genre","primary","score","date","author","role"
"David Byrne","“…The Best Live Show of All Time” — NME EP","Rock","Rock",5.5,2019-01-11,"Andy Beta","Contributor"
"DJ Healer","Lost Lovesongs / Lostsongs Vol. 2","Electronic","Electronic",6.2,2019-01-11,"Chal Ravens","Contributor"
"Jorge Velez","Roman Birds","Electronic","Electronic",7.9,2019-01-10,"Philip Sherburne","Contributing Editor"
"Chandra","Transportation EPs","Rock","Rock",7.8,2019-01-10,"Andy Beta","Contributor"
"The Chainsmokers","Sick Boy","Electronic","Electronic",3.1,2019-01-09,"Larry Fitzmaurice","Contributor"
"Silent Servant","Shadows of Death and Desire","Electronic","Electronic",7.8,2019-01-09,"Harley Brown","Contributor"
"A Boogie Wit Da Hoodie","Hoodie SZN","Rap","Rap",6.8,2019-01-08,"Alphonse Pierre","Staff Writer "
"Çaykh","V I S C 0 9","Experimental","Experimental",7.3,2019-01-08,"Tom Hawking","Contributor"
"The-Dream","Ménage à Trois: Sextape Vol. 1, 2, 3","Pop/R&B","Pop/R&B",7.4,2019-01-07,"Sheldon Pearce","Contributing Writer"
"Doug Paisley","Starter Home","Folk/Country","Folk/Country",7.7,2019-01-07,"Amanda Wicks","Associate Staff Writer"
"Buzzcocks","Singles Going Steady","Rock","Rock",9.4,2019-01-06,"Jason Heller","Contributor"
"Various Artists","Happy New Year! We Wish You Happiness!","","",7.2,2019-01-05,"Ben Cardew","Contributor"
"J. Mamana","Nothing New in the West","Rock","Rock",7.4,2019-01-05,"Jayson Greene","Contributing Editor"
"MIKE","War in My Pen","Rap","Rap",7.6,2019-01-04,"Jayson Greene","Contributing Editor"
"Hammock","Universalis","Electronic","Electronic",6.2,2019-01-04,"Brian Howe","Contributor"
"Bad Bunny","X 100PRE","Rap","Rap",8.2,2019-01-03,"Matthew  Ismael Ruiz","Contributor"
"Charlotte Gainsbourg","Take 2 EP","Pop/R&B","Pop/R&B",7.4,2019-01-03,"Ben Cardew","Contributor"
"21 Savage","I Am > I Was","Rap","Rap",7.8,2019-01-02,"Paul A. Thompson","Contributor"
"Magic Dirt","Signs of Satanic Youth","Rock","Rock",7.2,2019-01-02,"Stuart Berman","Contributor"
"Algernon Cadwallader","Some Kind of Cadwallader","Rock","Rock",8.3,2018-12-29,"Ian Cohen","Contributor"
"Various Artists","A Day In The Life: Impressions Of Pepper","","",7.8,2018-12-28,"Grayson Haver Currin","Contributor"
"XXX","Language","Rap","Rap",7.3,2018-12-27,"Michelle Kim","Staff Writer"
"Foxwarren","Foxwarren","Rock","Rock",7.3,2018-12-26,"Margaret Farrell","Contributor "
"Power Trip","Opening Fire: 2008-2014","Metal","Metal",7.7,2018-12-22,"Andy O'Connor","Contributor"
"Scott Walker, Sia","Vox Lux OST","Rock,Pop/R&B","Rock",4.5,2018-12-21,"Larry Fitzmaurice","Contributor"
"The Funs ","Alienated","Rock","Rock",7.2,2018-12-21,"Steven Arroyo","Contributor"
"Twist","Distancing","Rock","Rock",7.2,2018-12-20,"Calum Marsh","Contributor"
